"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","251","test_ct13_restrict_product_creation_to_administrators_only","tests.products","2026-02-28","passed","2026-02-28","","test_products_playwright","",""
"","146","test_ct08_validate_formats_with_regular_expressions","tests.users","2026-02-28","passed","2026-02-28","","test_users_playwright","",""
"","68","test_ct15_get_user_by_invalid_id_should_return_400","tests.users","2026-02-28","passed","2026-02-28","","test_users_playwright","",""
"","83","test_ct12_create_user_from_fixed_json_file","tests.users","2026-02-28","passed","2026-02-28","","test_users_playwright","",""
"","146","test_ct04_search_for_products_with_filters","tests.products","2026-02-28","passed","2026-02-28","","test_products_playwright","",""
"","388","test_ct02_create_new_product_as_administrator","tests.products","2026-02-28","passed","2026-02-28","","test_products_playwright","",""
"","109","test_ct04_advanced_json_validations_with_filters","tests.users","2026-02-28","passed","2026-02-28","","test_users_playwright","",""
"","71","test_ct05_validate_invalid_email_format[!@#$%]","tests.login","2026-02-28","passed","2026-02-28","","test_login_playwright","",""
"","459","test_ct01_login_with_valid_credentials_and_validate_token","tests.login","2026-02-28","passed","2026-02-28","","test_login_playwright","",""
"","71","test_ct07_create_product_without_token","tests.products","2026-02-28","passed","2026-02-28","","test_products_playwright","",""
"","367","test_ct06_prevent_cart_creation_when_product_stock_is_insufficient","tests.carts","2026-02-28","passed","2026-02-28","","test_carts_playwright","",""
"","206","test_ct16_prevent_updating_user_with_duplicate_email","tests.users","2026-02-28","passed","2026-02-28","","test_users_playwright","",""
"","97","test_ct11_prepare_data_for_nested_object_validation","tests.users","2026-02-28","passed","2026-02-28","","test_users_playwright","",""
"","166","test_ct10_use_variables_for_dynamic_validations","tests.users","2026-02-28","passed","2026-02-28","","test_users_playwright","",""
"","287","test_ct02_get_user_by_id","tests.users","2026-02-28","passed","2026-02-28","","test_users_playwright","",""
"","499","test_ct04_prevent_creating_more_than_one_cart_for_same_user","tests.carts","2026-02-28","passed","2026-02-28","","test_carts_playwright","",""
"","330","test_ct03_validate_error_on_duplicate_product_name","tests.products","2026-02-28","passed","2026-02-28","","test_products_playwright","",""
"","563","test_ct12_prevent_deleting_product_in_cart","tests.products","2026-02-28","passed","2026-02-28","","test_products_playwright","",""
"","69","test_ct05_validate_invalid_email_format[emailwithoutat]","tests.login","2026-02-28","passed","2026-02-28","","test_login_playwright","",""
